user_id,date,usage_minutes,support_tickets,sentiment_score,feature_usage,last_login_days,response_delay_hours,payment_delay_days,churn_label
U001,2026-07-01,120,0,0.82,15,0,2,0,0
U002,2026-07-01,95,1,0.65,12,1,5,0,0
U003,2026-07-01,80,2,0.42,8,3,10,2,1
U004,2026-07-01,60,3,0.35,6,5,15,5,1
U005,2026-07-01,150,0,0.90,18,0,1,0,0
U006,2026-07-01,45,4,0.22,4,7,20,8,1
U007,2026-07-01,110,1,0.70,14,1,4,0,0
U008,2026-07-01,70,2,0.50,9,2,8,1,1
U009,2026-07-01,135,0,0.88,17,0,2,0,0
U010,2026-07-01,55,3,0.30,5,6,18,6,1
